Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
,2019,2020,2021
ACEH,91.84,92.07,92.23
Simeulue,77.94,77.97,78.27
Aceh Singkil,84.48,84.48,84.75
Aceh Selatan,91.49,91.56,91.73
Aceh Tenggara,93.02,93,93.1
Aceh Timur,85.72,85.73,85.93
Aceh Tengah,97.48,97.35,97.26
Aceh Barat,85.81,85.76,85.97
Aceh Besar,94.98,94.9,94.93
Pidie,93.49,93.58,93.61
Bireuen,94.92,94.91,94.93
Aceh Utara,92.38,92.55,92.75
Aceh Barat Daya,90.02,89.82,89.87
Gayo Lues,88.7,88.91,89.34
Aceh Tamiang,81.95,81.95,82
Nagan Raya,90.31,90.31,90.37
Aceh Jaya,89.28,89.47,89.49
Bener Meriah,96.69,96.6,96.63
Pidie Jaya,95.11,94.92,94.88
Kota Banda Aceh,95.17,95.26,95.54
Kota Sabang,95.47,95.81,95.6
Kota Langsa,95.79,95.61,95.41
Kota Lhokseumawe,95.06,94.9,95.06
Kota Subulussalam,85.05,85.06,85.25
SUMATERA UTARA,90.71,90.67,90.73
Nias,91.23,90.81,91.25
Mandailing Natal,93.62,93.24,93.47
Tapanuli Selatan,91.33,90.86,90.74
Tapanuli Tengah,94.78,94.85,94.93
Tapanuli Utara,98.04,97.98,97.93
Toba Samosir / Toba,98.14,97.96,98.06
Labuhan Batu,91.05,90.86,90.88
Asahan,91.22,91.51,91.66
Simalungun,93.03,93.02,93.05
Dairi,97.77,98.02,98.05
Karo,96.31,96.19,95.9
Deli Serdang,91.31,91.29,91.18
Langkat,89.52,89.24,89.02
Nias Selatan,87.59,87.58,88.28
Humbang Hasundutan,97.1,97.38,97.32
Pakpak Bharat,99.05,99.02,98.89
Samosir,96.54,96.51,96.59
Serdang Bedagai,88.79,88.74,89
Batu Bara,82.93,83.08,83.22
Padang Lawas Utara,87.63,87.92,88.06
Padang Lawas,85.64,85.75,85.94
Labuhan Batu Selatan,87.43,87.43,87.61
