Provinsi / Kabupaten / Kota,,
,Indeks Pemberdayaan Gender (IDG),
KODYA JAKARTA PUSAT,77.75,79.02
KODYA JAKARTA BARAT,74.92,75.77
KODYA JAKARTA UTARA,75.61,75.33
JAWA BARAT,71.22,71.74
BOGOR,55.07,55.76
SUKABUMI,61.52,62.28
CIANJUR,59.74,60.3
BANDUNG,69.26,70.19
GARUT,73.74,72.08
TASIKMALAYA,65.4,61.52
CIAMIS,65.79,65.41
KUNINGAN,73.67,73.47
CIREBON,73.15,74.33
MAJALENGKA,59.82,57.91
SUMEDANG,72.23,72.6
INDRAMAYU,68.62,71.84
SUBANG,73.14,71.61
PURWAKARTA,76.8,77.15
KARAWANG,73.28,70.65
BEKASI,63.62,65.16
BANDUNG BARAT,65.32,66.97
PANGANDARAN,76.09,76.53
KOTA BOGOR,72.56,71.13
KOTA SUKABUMI,66.24,69.12
KOTA BANDUNG,72.36,73.01
KOTA CIREBON,78.07,77.03
KOTA BEKASI,68.3,67.74
KOTA DEPOK,77.94,76.82
KOTA CIMAHI,74.36,75.62
KOTA TASIKMALAYA,59.99,59.81
KOTA BANJAR,55.08,55.58
JAWA TENGAH,73.78,74.18
CILACAP,70.9,70.38
BANYUMAS,72.77,73.16
PURBALINGGA,70.09,71.94
BANJARNEGARA,73.8,74.3
KEBUMEN,66.87,67.78
PURWOREJO,71.13,70.77
WONOSOBO,49.19,48.92
MAGELANG,69.66,70.52
BOYOLALI,82.94,82.98
KLATEN,69.39,73.04
SUKOHARJO,79.16,79.28
WONOGIRI,72.97,72.64
KARANGANYAR,73.69,71.65
SRAGEN,69.13,67.91
GROBOGAN,58.98,58.82
BLORA,62.64,60.86
REMBANG,66.96,66.98
PATI,68.65,67.73
KUDUS,65.69,66.32
JEPARA,57.23,58.78
DEMAK,67.82,68.56
SEMARANG,75.78,77.86
TEMANGGUNG,84.8,84.38
KENDAL,77.05,77.58
BATANG,64.44,65.63
PEKALONGAN,71.76,69.78
PEMALANG,81.57,81.48
TEGAL,73.76,73.43
BREBES,61.89,62.14
