Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
Bangka Barat,0.488,0.421,0.459
Bangka Tengah,0.55,0.545,0.388
Bangka Selatan,0.573,0.597,0.599
Belitung Timur,0.364,0.414,0.477
Kota Pangkal Pinang,0.209,0.238,0.217
KEPULAUAN RIAU,0.387,0.395,0.348
Karimun,0.343,0.225,0.401
Bintan,0.414,0.446,0.357
Natuna,0.825,0.835,0.528
Lingga,0.558,0.57,0.529
Kepulauan Anambas,0.475,0.494,0.484
Kota Batam,0.343,0.342,0.306
Kota Tanjung Pinang,0.294,0.124,0.107
DKI JAKARTA,0.194,0.32,0.256
Kep. Seribu,0.378,0.228,0.252
Kota Jakarta Selatan,0.192,0.254,0.328
Kota Jakarta Timur,0.248,0.331,0.21
Kota Jakarta Pusat,0.142,0.229,0.155
Kota Jakarta Barat,0.186,0.385,0.164
Kota Jakarta Utara,0.191,0.198,0.315
JAWA BARAT,0.493,0.49,0.482
Bogor,0.58,0.588,0.582
Sukabumi,0.559,0.535,0.559
Cianjur,0.59,0.565,0.567
Bandung,0.499,0.522,0.472
Garut,0.605,0.551,0.555
Tasikmalaya,0.549,0.554,0.565
Ciamis,0.519,0.51,0.445
Kuningan,0.444,0.37,0.368
Cirebon,0.455,0.476,0.393
Majalengka,0.507,0.493,0.459
Sumedang,0.482,0.484,0.438
Indramayu,0.353,0.411,0.4
Subang,0.539,0.517,0.511
Purwakarta,0.546,0.532,0.549
Karawang,0.504,0.485,0.498
Bekasi,0.449,0.394,0.443
Bandung Barat,0.543,0.564,0.564
Pangandaran,0.478,0.463,0.416
Kota Bogor,0.375,0.434,0.343
Kota Sukabumi,0.4,0.343,0.221
Kota Bandung,0.353,0.36,0.275
Kota Cirebon,0.301,0.282,0.409
Kota Bekasi,0.25,0.334,0.253
Kota Depok,0.167,0.16,0.152
Kota Cimahi,0.323,0.381,0.276
Kota Tasikmalaya,0.473,0.482,0.39
Kota Banjar,0.493,0.296,0.288
JAWA TENGAH,0.377,0.371,0.336
Cilacap,0.395,0.404,0.433
Banyumas,0.25,0.198,0.193
Purbalingga,0.458,0.381,0.311
Banjarnegara,0.301,0.301,0.236
Kebumen,0.359,0.349,0.344
Purworejo,0.398,0.356,0.193
Wonosobo,0.549,0.503,0.427
Magelang,0.429,0.453,0.259
Boyolali,0.279,0.363,0.306
Klaten,0.391,0.229,0.19
Sukoharjo,0.155,0.26,0.145
Wonogiri,0.372,0.383,0.198
Karanganyar,0.352,0.374,0.279
Sragen,0.474,0.481,0.457
Grobogan,0.292,0.476,0.4
Blora,0.294,0.277,0.407
Rembang,0.393,0.261,0.265
Pati,0.308,0.303,0.233
Kudus,0.367,0.367,0.226
Jepara,0.356,0.398,0.425
Demak,0.453,0.39,0.244
Semarang,0.387,0.357,0.416
Temanggung,0.202,0.39,0.192
Kendal,0.329,0.211,0.229
Batang,0.444,0.406,0.397
Pekalongan,0.195,0.195,0.351
Pemalang,0.441,0.425,0.378
Tegal,0.233,0.312,0.184
Brebes,0.426,0.453,0.435
Kota Magelang,0.123,0.259,0.121
Kota Surakarta,0.128,0.147,0.159
Kota Salatiga,0.149,0.133,0.143
Kota Semarang,0.142,0.266,0.168
Kota Pekalongan,0.294,0.208,0.176
Kota Tegal,0.206,0.193,0.294
D I YOGYAKARTA,0.25,0.24,0.142
Kulon Progo,0.253,0.183,0.129
Bantul,0.235,0.321,0.151
Gunung Kidul,0.298,0.315,0.183
Sleman,0.216,0.118,0.116
Kota Yogyakarta,0.268,0.244,0.151
