Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Kota Jakarta Timur,-,94.59,94.79
Kota Jakarta Pusat,-,95.52,95.62
Kota Jakarta Barat,-,95.38,95.22
Kota Jakarta Utara,-,93.38,93.51
JAWA BARAT,89.56,89.18,89.19
Bogor,-,88.69,89.05
Sukabumi,-,86.9,86.95
Cianjur,-,83.56,83.72
Bandung,-,93.43,93.59
Garut,-,81.96,82.42
Tasikmalaya,-,85.63,85.98
Ciamis,-,85.6,86
Kuningan,-,86.34,86.62
Cirebon,-,82.51,82.92
Majalengka,-,85.43,85.93
Sumedang,-,94.6,94.88
Indramayu,-,87.91,87.97
Subang,-,90.52,90.57
Purwakarta,-,87.18,87.19
Karawang,-,90.42,90.45
Bekasi,-,88,88.28
Bandung Barat,-,79.11,79.18
Pangandaran,-,89.3,89.68
Kota Bogor,-,90.9,90.92
Kota Sukabumi,-,90.95,91.07
Kota Bandung,-,95.03,95.11
Kota Cirebon,-,93.94,93.94
Kota Bekasi,-,93.09,93.26
Kota Depok,-,93.05,93.06
Kota Cimahi,-,92.33,92.36
Kota Tasikmalaya,-,91.06,91.07
Kota Banjar,-,86.93,87.11
JAWA TENGAH,92.22,91.94,91.95
Cilacap,-,86.14,86.53
Banyumas,-,87.62,87.94
Purbalingga,-,92.31,92.32
Banjarnegara,-,95.02,95.18
Kebumen,-,92.68,93.09
Purworejo,-,95.26,95.11
Wonosobo,-,92.61,92.91
Magelang,-,91.95,92.23
Boyolali,-,92.96,93.24
Klaten,-,96.54,96
Sukoharjo,-,96.98,96.73
Wonogiri,-,90.7,91.13
Karanganyar,-,96.5,96.61
Sragen,-,91.89,92.27
Grobogan,-,85.69,85.81
Blora,-,83.55,83.79
Rembang,-,86.18,86.49
Pati,-,91.98,91.5
Kudus,-,92.68,92.89
Jepara,-,90.39,90.66
Demak,-,90.45,90.4
Semarang,-,96.48,96.35
Temanggung,-,96,95.62
Kendal,-,93.25,92.96
Batang,-,90.49,90.65
Pekalongan,-,92.68,92.87
Pemalang,-,85.47,85.49
Tegal,-,87.52,86.95
Brebes,-,85.86,86.24
Kota Magelang,-,96.26,96.07
Kota Surakarta,-,96.74,96.82
Kota Salatiga,-,95.34,95.12
Kota Semarang,-,95.69,95.82
Kota Pekalongan,-,94.43,94.59
Kota Tegal,-,92.92,93.45
D I YOGYAKARTA,94.27,94.39,94.73
Kulon Progo,-,94.93,95.03
Bantul,-,94.98,95.11
Gunung Kidul,-,84.03,84.59
Sleman,-,95.62,96.01
Kota Yogyakarta,-,98.26,98.48
JAWA TIMUR,90.72,90.76,90.77
Pacitan,-,84.41,84.44
Ponorogo,-,93.3,93
Trenggalek,-,91.84,92.52
Tulungagung,-,95.3,95.75
Blitar,-,92.5,92.33
Kediri,-,92.81,92.81
Malang,-,88.33,88.38
Lumajang,-,87.72,87.88
Jember,-,84.32,84.23
Banyuwangi,-,86.2,86.44
Bondowoso,-,89.48,89.89
Situbondo,-,86.78,86.69
Probolinggo,-,84.57,84.86
Pasuruan,-,90.65,90.41
Sidoarjo,-,93.33,93.33
Mojokerto,-,90.39,90.15
Jombang,-,89.91,89.94
Nganjuk,-,93.48,93.26
Madiun,-,91.61,91.13
Magetan,-,93.2,92.93
Ngawi,-,91.7,91.72
Bojonegoro,-,89.78,89.77
Tuban,-,87.32,87.34
Lamongan,-,87.98,88
Gresik,-,89.57,89.72
Bangkalan,-,86.92,86.38
Sampang,-,84.15,84.33
Pamekasan,-,85.68,85.5
Sumenep,-,79.65,80.11
Kota Kediri,-,94.64,94.48
Kota Blitar,-,97.91,97.6
Kota Malang,-,94.96,94.71
Kota Probolinggo,-,96.07,95.56
Kota Pasuruan,-,96.36,96.02
Kota Mojokerto,-,93.4,93.05
Kota Madiun,-,93.66,93.47
Kota Surabaya,-,93.66,93.57
Kota Batu,-,89.27,89.27
BANTEN,90.97,91.14,91.3
Pandeglang,-,86.13,86.47
Lebak,-,78.56,79.26
Tangerang,-,91.2,90.9
Serang,-,92.28,92.18
Kota Tangerang,-,94.07,94.51
Kota Cilegon,-,86.35,86.75
Kota Serang,-,91.15,91.16
Kota Tangerang Selatan,-,92.83,93.16
BALI,93.2,93.7,93.71
Jembrana,-,92.65,93.21
Tabanan,-,95.13,95.34
Badung,-,94.52,94.9
Gianyar,-,93.61,94.16
Klungkung,-,91.03,91.06
Bangli,-,90.72,91.23
Karangasem,-,89.02,89.22
Buleleng,-,91.4,91.92
Kota Denpasar,-,96.88,96.89
NUSA TENGGARA BARAT,90.05,90.36,90.37
Lombok Barat,-,88.93,88.71
Lombok Tengah,-,86.4,86.81
Lombok Timur,-,91.12,91.14
Sumbawa,-,93.4,93.76
Dompu,-,90.54,90.72
Bima,-,91.08,91.11
Sumbawa Barat,-,92.38,92.18
Lombok Utara,-,85.34,85.14
Kota Mataram,-,92.66,92.54
Kota Bima,-,96.15,96.44
NUSA TENGGARA TIMUR,92.72,92.44,92.57
Sumba Barat,-,94.12,94.13
Sumba Timur,-,96.11,96.03
Kupang,-,87.73,88.29
Timor Tengah Selatan,-,94.79,94.23
