Provinsi / Kabupaten / Kota,,,
,Indeks Pemberdayaan Gender (IDG),,
KALIMANTAN BARAT,64.37,64.46,64.47
SAMBAS,-,68.57,68.67
BENGKAYANG,-,61.55,62.71
LANDAK,-,64.07,64.47
PONTIANAK,-,62.91,61.62
SANGGAU,-,61.15,62.11
KETAPANG,-,58.77,55.83
SINTANG,-,61.78,60.36
KAPUAS HULU,-,69.75,70.5
SEKADAU,-,55.34,56.45
MELAWI,-,55.7,54.62
KAYONG UTARA,-,50.02,48.92
KUBU RAYA,-,63.33,63.57
KOTA PONTIANAK,-,61.04,60.99
KOTA SINGKAWANG,-,56.75,56.71
KALIMANTAN TENGAH,78.23,79.36,77.03
KOTAWARINGIN BARAT,-,63.31,59.72
KOTAWARINGIN TIMUR,-,67.87,67.35
KAPUAS,-,71.5,75.34
BARITO SELATAN,-,81.67,83.19
BARITO UTARA,-,86.2,84.52
SUKAMARA,-,59.78,65.77
LAMANDAU,-,54.13,54.98
SERUYAN,-,70.13,70.07
KATINGAN,-,66.87,73.32
PULANG PISAU,-,70.14,74.13
GUNUNG MAS,-,78.74,82.73
BARITO TIMUR,-,76.46,76.5
MURUNG RAYA,-,66.93,67.38
KOTA PALANGKA RAYA,-,79.94,80.61
KALIMANTAN SELATAN,67.4,67.56,71.31
TANAH LAUT,-,65.99,65.96
KOTA BARU,-,70.08,70.68
BANJAR,-,76.49,76.51
BARITO KUALA,-,73.44,73.62
TAPIN,-,72.99,73.11
HULU SUNGAI SELATAN,-,61.1,60.48
HULU SUNGAI TENGAH,-,80.07,80.19
HULU SUNGAI UTARA,-,64.5,64.59
TABALONG,-,70.77,71.97
TANAH BUMBU,-,57.45,57.61
BALANGAN,-,65.79,65.97
KOTA BANJARMASIN,-,73.74,74.24
KOTA BANJAR BARU,-,73.83,75.08
KALIMANTAN TIMUR,56.93,56.64,57.53
PASIR,-,62.07,62.76
KUTAI BARAT,-,62.63,63.68
KUTAI KARTANEGARA,-,55.07,56.44
KUTAI TIMUR,-,53.71,55.72
BERAU,-,49.85,50.55
MALINAU,-,-,-
BULUNGAN,-,-,-
NUNUKAN,-,-,-
PENAJAM PASER UTARA,-,50.3,50.02
TANA TIDUNG,-,-,-
MAHAKAM ULU,-,74.12,76.04
KOTA BALIKPAPAN,-,65.52,66.33
KOTA SAMARINDA,-,70.84,69.61
KOTA TARAKAN,-,-,-
KOTA BONTANG,-,45.44,46.36
KALIMANTAN UTARA,63.52,61.09,69.53
MALINAU,-,65.14,65.03
BULONGAN,-,47.74,48.34
TANA TIDUNG,-,48.06,50.19
NUNUKAN,-,70.02,70.26
KOTA TARAKAN,-,51.33,52
SULAWESI UTARA,81.24,82.37,80.91
BOLAANG MONGONDOW,-,69.91,70.64
MINAHASA,-,82.42,82.96
KEPULAUAN SANGIHE,-,73.01,66
KEPULAUAN TALAUD,-,52.11,58.86
MINAHASA SELATAN,-,75.1,76.53
MINAHASA UTARA,-,77.48,76.74
BOLAANG MONGONDOW UTARA,-,64.93,64.9
SIAU TAGULANDANG BIARO,-,73.05,73.9
MINAHASA TENGGARA,-,79.28,79.86
BOLAANG MONGONDOW SELATAN,-,67.86,67.98
BOLAANG MONGONDOW TIMUR,-,64.41,66.08
KOTA MANADO,-,81,83.18
KOTA BITUNG,-,73.25,73
KOTA TOMOHON,-,82.32,83.23
KOTA KOTAMOBAGU,-,57.48,69.33
SULAWESI TENGAH,70.05,70.38,73.95
BANGGAI KEPULAUAN,-,67.79,72.04
BANGGAI,-,70.23,69.04
MOROWALI,-,63.49,64.04
POSO,-,68.01,65.29
DONGGALA,-,56.35,56.87
TOLI-TOLI,-,66.45,67.42
BUOL,-,66.51,63.96
PARIGI MOUTONG,-,54.93,55.28
TOJO UNA-UNA,-,53.76,54.64
SIGI,-,59.65,56.6
BANGGAI LAUT,-,56.04,57.66
MOROWALI UTARA,-,60.5,57.68
KOTA PALU,-,67.81,67.83
SULAWESI SELATAN,70.02,70.57,69.14
KEPULAUAN SELAYAR,-,64.74,64.69
BULUKUMBA,-,67.16,66.78
BANTAENG,-,77.74,80.53
JENEPONTO,-,67.93,72.37
TAKALAR,-,66.6,70.55
GOWA,-,69.01,61.06
SINJAI,-,72.56,70.24
MAROS,-,65.16,65.48
PANGKAJENE DAN KEPULAUAN,-,56.96,56.2
BARRU,-,63.54,69.24
BONE,-,62.75,63.16
SOPPENG,-,69.35,73.75
WAJO,-,60.62,61.07
SIDENRENG RAPPANG,-,49.02,52.71
PINRANG,-,59.61,61.73
ENREKANG,-,58.68,59.36
LUWU,-,61.61,63.58
TANA TORAJA,-,73.99,74.14
LUWU UTARA,-,44.98,46.24
LUWU TIMUR,-,45.96,46.06
TORAJA UTARA,-,56.04,56.15
KOTA MAKASSAR,-,68.73,67.89
KOTA PARE-PARE,-,61.56,66.62
KOTA PALOPO,-,70.85,74.87
SULAWESI TENGGARA,70.51,70.76,71.54
BUTON,-,73.46,74.56
MUNA,-,61.19,61.33
KONAWE,-,76.76,75.9
KOLAKA,-,59.45,61.12
KONAWE SELATAN,-,79.2,80.27
BOMBANA,-,53.23,54.04
WAKATOBI,-,71.65,74.34
KOLAKA UTARA,-,51.62,46.43
BUTON UTARA,-,67.83,67.49
KONAWE UTARA,-,69.13,76.9
KOLAKA TIMUR,-,61.7,62.27
KONAWE KEPULAUAN,-,49.52,48.96
MUNA BARAT,-,45.07,45.09
BUTON TENGAH,-,70.08,71.43
BUTON SELATAN,-,69.09,63.03
KOTA KENDARI,-,85.3,83.48
KOTA BAU-BAU,-,67.98,68.94
GORONTALO,69.7,71.09,71.23
BOALEMO,-,66.59,60.96
GORONTALO,-,65.76,66.42
POHUWATO,-,69.62,72.26
BONE BOLANGO,-,46.97,47.05
GORONTALO UTARA,-,63.28,64.6
KOTA GORONTALO,-,70.64,68.89
SULAWESI BARAT,71.71,73.37,71.95
MAJENE,-,74.51,74.87
POLEWALI MANDAR,-,71.81,75.19
MAMASA,-,52.52,52.59
MAMUJU,-,65.34,62.75
MAMUJU UTARA,-,49.23,50.12
MAMUJU TENGAH,-,62.73,60.88
MALUKU,77.36,78.87,77.77
MALUKU TENGGARA BARAT,-,71.36,66.08
MALUKU TENGGARA,-,59.84,60.64
MALUKU TENGAH,-,59.99,60.06
BURU,-,60.55,64.65
KEPULAUAN ARU,-,57.57,62.3
SERAM BAGIAN BARAT,-,57.91,62.12
SERAM BAGIAN TIMUR,-,57.6,57.89
MALUKU BARAT DAYA,-,50.1,50.42
BURU SELATAN,-,54.98,55.66
KOTA AMBON,-,67.66,71.54
KOTA TUAL,-,51.84,45.26
MALUKU UTARA,68.19,70.31,72.81
HALMAHERA BARAT,-,69.15,66.01
HALMAHERA TENGAH,-,51.79,51.42
KEPULAUAN SULA,-,48.59,49.51
HALMAHERA SELATAN,-,38.52,38.54
HALMAHERA UTARA,-,66.33,66.56
HALMAHERA TIMUR,-,49.53,50.23
PULAU MOROTAI,-,55.45,55.4
PULAU TALIABU,-,50.73,53.9
KOTA TERNATE,-,70.03,71.57
KOTA TIDORE KEPULAUAN,-,66.48,67.02
PAPUA BARAT,49.56,47.88,51.04
FAKFAK,-,68.38,67.41
KAIMANA,-,66.98,69.82
TELUK WONDAMA,-,51.9,49.54
TELUK BINTUNI,-,48.8,65.47
MANOKWARI,-,65.39,67.47
SORONG SELATAN,-,63.02,63.77
SORONG,-,50.06,54.38
RAJA AMPAT,-,70.35,69.55
TAMBRAUW,-,43.28,48.93
MAYBRAT,-,47.75,50.41
MANOKWARI SELATAN,-,72.37,72.27
PEGUNUNGAN ARFAK,-,42.46,47.25
KOTA SORONG,-,60.14,60.46
PAPUA,64.73,61.89,68.71
MERAUKE,-,71.65,72.18
JAYAWIJAYA,-,51.42,53.8
JAYAPURA,-,61.91,61.79
NABIRE,-,71.8,72.71
KEPULAUAN YAPEN,-,49.92,55.38
BIAK NUMFOR,-,61.88,62.01
PANIAI,-,50.92,40.79
PUNCAK JAYA,-,42.76,51.17
MIMIKA,-,46.48,47.72
BOVEN DIGOEL,-,44.55,60.19
MAPPI,-,57.51,61.61
ASMAT,-,28.71,29.22
YAHUKIMO,-,46.01,50.71
PEGUNUNGAN BINTANG,-,48.82,49.1
TOLIKARA,-,45.93,46.78
SARMI,-,65.29,62.23
KEEROM,-,62.34,57.71
WAROPEN,-,53.41,65.82
SUPIORI,-,63,63.85
MAMBERAMO RAYA,-,36.95,53.16
NDUGA,-,58.02,59.16
LANNY JAYA,-,38.86,57.8
MAMBERAMO TENGAH,-,53.42,41.04
YALIMO,-,49.54,54.51
PUNCAK,-,42.95,43.57
DOGIYAI,-,42.92,47.82
INTAN JAYA,-,51.49,47.39
DEIYAI,-,38.42,41.12
KOTA JAYAPURA,-,78.89,83.41
INDONESIA,71.39,71.74,72.1
