Provinsi / Kabupaten / Kota,,,
,Indeks Pemberdayaan Gender (IDG),,
,2016,2017,2018
ACEH,67.4,66.28,66.6
SIMEULUE,-,58.44,54.09
ACEH SINGKIL,-,52.33,59.49
ACEH SELATAN,-,48.07,48.35
ACEH TENGGARA,-,60.98,64.75
ACEH TIMUR,-,54.14,59.03
ACEH TENGAH,-,56.48,64.57
ACEH BARAT,-,55.9,56.25
ACEH BESAR,-,47.27,47.46
PIDIE,-,59.61,60.9
BIREUEN,-,53.02,53.07
ACEH UTARA,-,51.51,54.04
ACEH BARAT DAYA,-,51.62,51.29
GAYO LUES,-,61.62,66.56
ACEH TAMIANG,-,72.05,73.45
NAGAN RAYA,-,59.45,60.44
ACEH JAYA,-,57.57,51.79
BENER MERIAH,-,50.06,61.02
PIDIE JAYA,-,52,54.71
KOTA BANDA ACEH,-,51.48,55.82
KOTA SABANG,-,78.53,78.51
KOTA LANGSA,-,52.72,51.57
KOTA LHOKSEUMAWE,-,50.79,51.06
KOTA SUBULUSSALAM,-,68.38,68.48
SUMATERA UTARA,69.07,69.29,71.29
NIAS,-,51.89,52.87
MANDAILING NATAL,-,64.99,62.32
TAPANULI SELATAN,-,72.33,72.66
TAPANULI TENGAH,-,62.07,61.6
TAPANULI UTARA,-,65.87,66.11
TOBA SAMOSIR,-,63.86,63.88
LABUHAN BATU,-,75.49,77.74
ASAHAN,-,60.44,60.71
SIMALUNGUN,-,66.13,65.65
DAIRI,-,62.16,68.7
KARO,-,76.42,76.71
DELI SERDANG,-,60.54,60.89
LANGKAT,-,58.41,55.79
NIAS SELATAN,-,59.66,68.81
HUMBANG HASUNDUTAN,-,58.44,59.08
PAKPAK BHARAT,-,54.36,55.03
SAMOSIR,-,77.11,76.72
SERDANG BEDAGAI,-,66.17,69.84
BATU BARA,-,68.52,68.74
PADANG LAWAS UTARA,-,63.57,63.01
PADANG LAWAS,-,58.08,57.64
LABUHAN BATU SELATAN,-,60.47,60.93
LABUHAN BATU UTARA,-,47.18,44.83
NIAS UTARA,-,62.47,67.65
NIAS BARAT,-,67.88,66.02
KOTA SIBOLGA,-,71.1,70.98
KOTA TANJUNG BALAI,-,59.62,59.35
KOTA PEMATANG SIANTAR,-,73.51,73.8
KOTA TEBING TINGGI,-,57.65,61.83
KOTA MEDAN,-,61.23,63.36
KOTA BINJAI,-,69.77,69.86
KOTA PADANGSIDIMPUAN,-,61.1,62.55
KOTA GUNUNGSITOLI,-,66.39,67.05
SUMATERA BARAT,64.51,65.01,65.7
KEPULAUAN MENTAWAI,-,46.9,47.36
PESISIR SELATAN,-,53.46,57.7
SOLOK,-,62.16,62.89
SIJUNJUNG,-,56.84,55.47
TANAH DATAR,-,58.41,62.47
PADANG PARIAMAN,-,54.48,54.82
AGAM,-,54.16,55.07
LIMA PULUH KOTA,-,46.81,46.89
PASAMAN,-,63.78,63.74
SOLOK SELATAN,-,51.17,51.4
DHARMAS RAYA,-,48.91,50
PASAMAN BARAT,-,54.42,53.82
KOTA PADANG,-,69.01,69.3
KOTA SOLOK,-,56.2,55.76
KOTA SAWAH LUNTO,-,65.86,65.33
KOTA PADANG PANJANG,-,76.1,74.45
KOTA BUKITTINGGI,-,62.11,62.19
KOTA PAYAKUMBUH,-,61.99,62.3
KOTA PARIAMAN,-,51.34,52.11
RIAU,75.19,75.36,75.73
KUANTAN SINGINGI,-,59.55,61.63
INDRAGIRI HULU,-,62.79,59
INDRAGIRI HILIR,-,59.43,59.59
PELALAWAN,-,53.48,54.59
SIAK,-,42.02,45.58
KAMPAR,-,60.8,61.18
ROKAN HULU,-,60.75,62.48
BENGKALIS,-,52.64,53.53
ROKAN HILIR,-,49.86,49.99
KEPULAUAN MERANTI,-,62.82,64.86
KOTA PEKANBARU,-,65.83,61.05
KOTA DUMAI,-,59.49,59.9
JAMBI,63.14,65.32,67.78
KERINCI,-,67.2,67.44
MERANGIN,-,54.21,53.34
SAROLANGUN,-,58.35,57.3
BATANG HARI,-,70.6,70.76
MUARO JAMBI,-,68.67,68.81
TANJUNG JABUNG TIMUR,-,64.87,59.92
TANJUNG JABUNG BARAT,-,61.93,63.1
TEBO,-,62.02,63.55
BUNGO,-,61.15,61.27
KOTA JAMBI,-,69.14,69.83
KOTA SUNGAI PENUH,-,51.32,52.41
SUMATERA SELATAN,70.69,73.53,74.37
OGAN KOMERING ULU,-,56.84,57.32
OGAN KOMERING ILIR,-,56.08,57.47
MUARA ENIM,-,60.18,61.55
LAHAT,-,60.87,62.77
MUSI RAWAS,-,55.54,49.76
MUSI BANYUASIN,-,72.18,73.01
BANYU ASIN,-,59.89,60
OGAN KOMERING ULU SELATAN,-,54.54,54.04
OGAN KOMERING ULU TIMUR,-,57.34,56.99
OGAN ILIR,-,51.24,49.62
EMPAT LAWANG,-,61.15,59.7
PENUKAL ABAB LEMATANG ILIR,-,55.62,55.31
MUSI RAWAS UTARA,-,53.42,52.47
KOTA PALEMBANG,-,63.41,64.28
KOTA PRABUMULIH,-,55.75,55.94
KOTA PAGAR ALAM,-,58.11,58.51
KOTA LUBUKLINGGAU,-,62.43,65.13
BENGKULU,71.09,71.4,69.6
BENGKULU SELATAN,-,54.75,54.89
REJANG LEBONG,-,61.73,61.99
BENGKULU UTARA,-,65.76,65.92
KAUR,-,61.86,66.25
SELUMA,-,65.15,61.95
MUKOMUKO,-,61.32,61.4
LEBONG,-,79.39,79.68
KEPAHIANG,-,73.29,73.63
BENGKULU TENGAH,-,70.15,73.8
KOTA BENGKULU,-,76.46,76.61
LAMPUNG,61.98,63.6,63.82
LAMPUNG BARAT,-,60.47,63.84
TANGGAMUS,-,69.77,69.9
LAMPUNG SELATAN,-,57.66,58.14
LAMPUNG TIMUR,-,60.01,60.73
LAMPUNG TENGAH,-,55.75,53.52
LAMPUNG UTARA,-,60.9,61.41
WAY KANAN,-,68.46,65.3
TULANGBAWANG,-,62.78,62.52
PESAWARAN,-,70.51,67.03
PRINGSEWU,-,62.95,63.81
MESUJI,-,61.4,61.71
TULANGBAWANG BARAT,-,62.74,59.74
PESISIR BARAT,-,64.34,63.9
KOTA BANDAR LAMPUNG,-,62.11,62.39
KOTA METRO,-,78.92,78.75
KEP. BANGKA BELITUNG,51.69,54.91,52.57
BANGKA,-,62.04,62.2
BELITUNG,-,42.62,48.48
BANGKA BARAT,-,54.45,49.88
BANGKA TENGAH,-,55.76,56.39
BANGKA SELATAN,-,48.66,48.46
BELITUNG TIMUR,-,67.36,68.21
KOTA PANGKAL PINANG,-,56.64,57.17
KEP. RIAU,65.6,66.96,66.18
KARIMUN,-,56.47,57.03
BINTAN,-,61.24,63.41
NATUNA,-,48.55,49.17
LINGGA,-,47.82,46.08
KEPULAUAN ANAMBAS,-,57.07,57.32
KOTA BATAM,-,55.28,53.29
KOTA TANJUNG PINANG,-,70.33,68.57
DKI JAKARTA,72.14,72.34,73.68
KEPULAUAN SERIBU,-,61.08,59.98
KODYA JAKARTA SELATAN,-,73.17,74.33
KODYA JAKARTA TIMUR,-,71.17,72.82
KODYA JAKARTA PUSAT,-,74.71,75.72
KODYA JAKARTA BARAT,-,71.66,73.32
KODYA JAKARTA UTARA,-,72.12,73.36
JAWA BARAT,71.15,70.04,70.2
BOGOR,-,57.1,56.64
SUKABUMI,-,58.33,53.07
CIANJUR,-,55.95,60.36
BANDUNG,-,76.5,72.4
GARUT,-,65.63,64.67
TASIKMALAYA,-,63.04,63.15
CIAMIS,-,63.67,64.54
KUNINGAN,-,72.39,73.05
CIREBON,-,74.27,72.39
MAJALENGKA,-,59.15,61.67
SUMEDANG,-,68.08,70.57
INDRAMAYU,-,58.94,61.12
SUBANG,-,65.9,68.81
PURWAKARTA,-,72.25,72.04
KARAWANG,-,68.08,68.52
BEKASI,-,57.16,57.02
BANDUNG BARAT,-,53.98,62.71
PANGANDARAN,-,65.45,69.2
KOTA BOGOR,-,67.37,62.04
KOTA SUKABUMI,-,60.2,59.55
KOTA BANDUNG,-,58.84,63.63
KOTA CIREBON,-,74.23,73.97
KOTA BEKASI,-,65.68,65.96
KOTA DEPOK,-,81.4,81.49
KOTA CIMAHI,-,76.97,77.21
KOTA TASIKMALAYA,-,63.5,62.92
KOTA BANJAR,-,47.96,53.8
JAWA TENGAH,74.89,75.1,74.03
CILACAP,-,62.52,62.11
BANYUMAS,-,67.32,68.11
PURBALINGGA,-,73.11,75.51
BANJARNEGARA,-,66.44,65.12
KEBUMEN,-,70.13,68.09
PURWOREJO,-,69.56,71.61
WONOSOBO,-,50.55,51.41
MAGELANG,-,62.43,71.21
BOYOLALI,-,66.28,65.61
KLATEN,-,59.6,60.25
SUKOHARJO,-,76.11,76.17
WONOGIRI,-,64.04,63.8
KARANGANYAR,-,74.27,80.51
SRAGEN,-,62.28,62.48
GROBOGAN,-,56.01,53.7
BLORA,-,70.52,70.72
REMBANG,-,72.45,73.12
PATI,-,67.96,66.55
KUDUS,-,62.02,62.07
JEPARA,-,48.76,50.62
DEMAK,-,68.48,70.79
SEMARANG,-,76.15,77.41
TEMANGGUNG,-,82.49,82.01
KENDAL,-,75.35,76.78
BATANG,-,66.58,66.29
PEKALONGAN,-,68.38,73.19
PEMALANG,-,70.52,68.95
TEGAL,-,68.9,69.25
BREBES,-,60.72,60.94
KOTA MAGELANG,-,76.28,76.3
KOTA SURAKARTA,-,77.25,77.1
KOTA SALATIGA,-,80.83,82.16
KOTA SEMARANG,-,75.22,75.55
KOTA PEKALONGAN,-,65.11,68.62
KOTA TEGAL,-,77.52,79.57
DI YOGYAKARTA,66.96,69.37,69.64
KULON PROGO,-,68.42,68.36
BANTUL,-,61.99,61.01
GUNUNG KIDUL,-,68.7,67.45
SLEMAN,-,79.51,78.47
KOTA YOGYAKARTA,-,78.94,80.65
JAWA TIMUR,69.06,69.37,69.71
PACITAN,-,69.01,69.57
PONOROGO,-,64.87,68.18
TRENGGALEK,-,65.21,66.12
TULUNGAGUNG,-,63.95,64.11
BLITAR,-,77.15,78.02
KEDIRI,-,73.93,74.61
MALANG,-,74.37,75.49
LUMAJANG,-,60.11,59.23
JEMBER,-,68.65,70.45
BANYUWANGI,-,69.43,69.71
BONDOWOSO,-,57.28,59.55
SITUBONDO,-,65.04,67.72
PROBOLINGGO,-,64.86,67.06
PASURUAN,-,65.59,65.81
SIDOARJO,-,64.65,64.46
MOJOKERTO,-,75.72,78.33
JOMBANG,-,68.4,68.25
NGANJUK,-,66.56,65
MADIUN,-,60.03,60.05
MAGETAN,-,61.34,61.68
NGAWI,-,68.93,70.95
BOJONEGORO,-,59.3,57.62
TUBAN,-,61.25,67.74
LAMONGAN,-,68.1,67.95
GRESIK,-,63.35,65.33
BANGKALAN,-,49.74,50.03
SAMPANG,-,48.18,49.67
PAMEKASAN,-,55.81,57.29
SUMENEP,-,54.9,53.81
KOTA KEDIRI,-,82.36,82.36
KOTA BLITAR,-,67.51,67.91
KOTA MALANG,-,70.76,71.05
KOTA PROBOLINGGO,-,66.69,67.76
KOTA PASURUAN,-,62.03,62.01
KOTA MOJOKERTO,-,82,82.1
KOTA MADIUN,-,82.19,82.28
KOTA SURABAYA,-,82.89,83.29
KOTA BATU,-,73.66,70.92
BANTEN,69.14,70,72.75
PANDEGLANG,-,60.45,61.27
LEBAK,-,64.38,60.85
TANGERANG,-,62.43,62.25
SERANG,-,59,64.55
KOTA TANGERANG,-,71.67,71.76
KOTA CILEGON,-,56.05,59.22
KOTA SERANG,-,63.81,62.65
KOTA TANGERANG SELATAN,-,68.46,70.72
BALI,63.97,63.76,64.18
JEMBRANA,-,66.23,66.23
TABANAN,-,61.06,61.62
BADUNG,-,61.48,62.03
GIANYAR,-,62.35,62.59
KLUNGKUNG,-,72.6,71.77
BANGLI,-,59.57,61.07
KARANG ASEM,-,59.3,60.2
BULELENG,-,67.68,65.58
KOTA DENPASAR,-,58.8,59.09
NUSA TENGGARA BARAT,60.06,59.95,60.56
LOMBOK BARAT,-,62.28,59.25
LOMBOK TENGAH,-,55.43,57.24
LOMBOK TIMUR,-,60.23,60.79
SUMBAWA,-,56.48,56.43
DOMPU,-,64,64.03
BIMA,-,60.66,61.05
SUMBAWA BARAT,-,38.03,38.69
LOMBOK UTARA,-,46.33,46.66
KOTA MATARAM,-,64.57,65.34
KOTA BIMA,-,65.14,65.33
NUSA TENGGARA TIMUR,65.07,63.76,65.86
SUMBA BARAT,-,67.53,68.55
SUMBA TIMUR,-,60.59,60.86
KUPANG,-,64.75,65.58
TIMOR TENGAH SELATAN,-,58.78,59.68
TIMOR TENGAH UTARA,-,59.04,59.86
BELU,-,81.57,81.28
ALOR,-,60.14,60.49
LEMBATA,-,52.44,52.34
FLORES TIMUR,-,53.27,53.37
SIKKA,-,58.15,58.57
ENDE,-,57.64,57.99
NGADA,-,71.64,72.21
MANGGARAI,-,65.52,65.85
ROTE NDAO,-,51.6,50.47
MANGGARAI BARAT,-,52.53,54.66
SUMBA TENGAH,-,53.21,52.83
SUMBA BARAT DAYA,-,53.86,54.31
NAGEKEO,-,53.14,53.11
MANGGARAI TIMUR,-,49.36,50.19
SABU RAIJUA,-,49.33,49.53
MALAKA,-,61.42,62.42
KOTA KUPANG,-,68.27,68.62
