Provinsi / Kabupaten / Kota,,,
,Indeks Pemberdayaan Gender (IDG),,
LAMPUNG UTARA,64.87,65.21,64.94
WAY KANAN,61.46,60.72,61.82
TULANGBAWANG,65.94,64.1,64.76
PESAWARAN,72.59,72.21,73.7
PRINGSEWU,67.05,67.32,65.86
MESUJI,69.27,68.89,68.45
TULANGBAWANG BARAT,51.46,51.25,52.1
PESISIR BARAT,56.21,56.02,54.93
KOTA BANDAR LAMPUNG,71.54,71.88,71.69
KOTA METRO,77.02,76.98,74.23
KEP. BANGKA BELITUNG,52.96,53.03,57.49
BANGKA,65.18,65.24,62.34
BELITUNG,53.82,53.11,53.02
BANGKA BARAT,64.82,64.48,61.77
BANGKA TENGAH,57.31,57.5,56.81
BANGKA SELATAN,49.29,49.93,48.65
BELITUNG TIMUR,56.74,56.81,55.1
KOTA PANGKAL PINANG,61.88,61.84,61.19
KEP. RIAU,61.59,62.02,58.97
KARIMUN,64.17,64.05,63.89
BINTAN,69.71,69.64,73.04
NATUNA,42.02,42.99,42.95
LINGGA,48.96,48.52,48.5
KEPULAUAN ANAMBAS,57.74,62.57,67.66
KOTA BATAM,58.4,59.1,58.38
KOTA TANJUNG PINANG,76.13,76.44,76.64
DKI JAKARTA,75.14,75.16,75.42
KEPULAUAN SERIBU,63.03,63.41,64.15
KODYA JAKARTA SELATAN,75.8,75.69,75.95
KODYA JAKARTA TIMUR,74.52,74.2,74.36
KODYA JAKARTA PUSAT,77.42,77.17,77.57
KODYA JAKARTA BARAT,75.2,74.93,74.87
KODYA JAKARTA UTARA,74.79,75.15,75.34
JAWA BARAT,69.48,70.24,70.62
BOGOR,55.73,55.76,55.86
SUKABUMI,60.7,55.86,57.45
CIANJUR,60.32,58.59,59.7
BANDUNG,65.86,67.07,68.68
GARUT,68.23,71.91,64.87
TASIKMALAYA,64.3,64.13,63.79
CIAMIS,65.35,66.43,63.65
KUNINGAN,70.58,70.54,73.04
CIREBON,75.61,72.07,72.52
MAJALENGKA,58.9,60.06,60.04
SUMEDANG,70.94,70.78,70.13
INDRAMAYU,70.1,70.45,70.93
SUBANG,68.83,68.75,70.77
PURWAKARTA,74.39,73.94,76.88
KARAWANG,74.8,74.42,74.83
BEKASI,60.83,62.46,65.24
BANDUNG BARAT,64.53,65.4,65.83
PANGANDARAN,74.56,74.57,75.98
KOTA BOGOR,68.91,69.03,72.33
KOTA SUKABUMI,66.82,66.93,66.81
KOTA BANDUNG,70.38,70.49,70.81
KOTA CIREBON,77.86,78.09,77.64
KOTA BEKASI,66.1,65.75,66.57
KOTA DEPOK,74.82,76.31,76.53
KOTA CIMAHI,74.14,75.13,74.07
KOTA TASIKMALAYA,59.32,59.51,59.59
KOTA BANJAR,49.53,50.56,54.32
JAWA TENGAH,72.18,71.73,71.64
CILACAP,69.13,70.22,70.67
BANYUMAS,71.92,71.74,70.1
PURBALINGGA,70.6,70.27,70.99
BANJARNEGARA,72.84,73.2,73.79
KEBUMEN,67.15,66.89,66.86
PURWOREJO,70.03,69.83,70.09
WONOSOBO,46.29,48.7,48.68
MAGELANG,67.74,69.65,69.64
BOYOLALI,81.88,81.95,82.23
KLATEN,72.35,69.42,71.88
SUKOHARJO,78.52,77.98,77.69
WONOGIRI,71.88,71.56,71.55
KARANGANYAR,74.76,74.29,73.38
SRAGEN,65.07,65.2,67.14
GROBOGAN,56.31,57.18,58.03
BLORA,65.59,64.37,64.36
REMBANG,65.79,65.78,65.88
PATI,66.99,66.69,66.65
KUDUS,65.24,65.18,65.54
JEPARA,58.2,55.76,56.66
DEMAK,67.2,66.85,66.83
SEMARANG,74.97,75.4,78.35
TEMANGGUNG,84.46,84.21,84.56
KENDAL,77.24,76.96,76.95
BATANG,63.78,63.81,64.43
PEKALONGAN,70.87,71.68,70.54
PEMALANG,80.08,80.95,81.27
TEGAL,72.58,72.12,72.32
BREBES,62.04,61.93,61.89
KOTA MAGELANG,76.81,76.35,78.65
KOTA SURAKARTA,77.88,79.42,79.32
KOTA SALATIGA,76.19,76.07,79.08
KOTA SEMARANG,74.57,74.67,73.64
KOTA PEKALONGAN,60.95,58.29,57.87
KOTA TEGAL,63.66,64.07,63.34
DI YOGYAKARTA,73.59,74.73,76.57
KULON PROGO,71.68,71.45,71.41
BANTUL,65.29,64.78,65.27
GUNUNG KIDUL,75.34,75.53,76.7
SLEMAN,80.4,81.25,81.31
KOTA YOGYAKARTA,71.06,71.05,73.18
JAWA TIMUR,73.04,73.03,72.36
PACITAN,68.77,68.64,70.45
PONOROGO,67.71,67.48,67.63
TRENGGALEK,66.86,66.11,61.43
TULUNGAGUNG,66.36,65.84,65.06
BLITAR,79.05,80.32,79.68
KEDIRI,72.24,72.17,71.64
MALANG,69.68,69.54,76.69
LUMAJANG,59.16,58.91,59.38
JEMBER,67.65,65.61,66.16
BANYUWANGI,74.52,74.41,74.84
BONDOWOSO,65.1,65.06,65.35
SITUBONDO,69.26,72.8,73.6
PROBOLINGGO,68.22,68.69,68.75
PASURUAN,66.24,65.99,65.75
SIDOARJO,67.13,67.2,67.1
MOJOKERTO,79.74,79.87,80.2
JOMBANG,73.52,73.42,73.76
NGANJUK,68.45,69.9,69.78
MADIUN,68.47,69.53,68.97
MAGETAN,66.63,66.68,70.5
NGAWI,72.89,72.88,71.33
BOJONEGORO,55.44,55.77,56.14
TUBAN,64.32,64,63.51
LAMONGAN,74.37,73.93,74.05
GRESIK,69.43,69.5,71.48
BANGKALAN,57.71,58.54,60.03
SAMPANG,55.99,55.91,55.67
PAMEKASAN,53.13,53.01,52.44
SUMENEP,60.99,58.22,61.79
KOTA KEDIRI,84.46,84.38,84.17
KOTA BLITAR,67.7,68.35,68.6
KOTA MALANG,78.11,78.06,77.63
KOTA PROBOLINGGO,66.02,65.92,65.05
KOTA PASURUAN,55.09,54.58,54.94
KOTA MOJOKERTO,71.51,70.87,70.68
KOTA MADIUN,77.07,77.18,76.75
KOTA SURABAYA,83.88,82.86,82.82
KOTA BATU,69.13,68.91,68.8
BANTEN,68.83,68.76,69.09
PANDEGLANG,61.58,63.52,63.16
LEBAK,60.36,58.68,58.24
TANGERANG,61.54,61.53,62.17
SERANG,58.87,59.48,59.93
KOTA TANGERANG,65.19,65.03,64.86
KOTA CILEGON,52.86,52.32,52.81
KOTA SERANG,62.1,61.26,61.66
KOTA TANGERANG SELATAN,74,73.85,73.08
BALI,72.27,72.16,72.17
JEMBRANA,74.6,74.39,74.55
TABANAN,78.14,77.95,78.27
BADUNG,75.23,75.49,76.99
GIANYAR,66.22,66.14,65.64
KLUNGKUNG,78.35,78.36,75.5
BANGLI,61.81,65.16,65.36
KARANG ASEM,60.77,63.61,65.09
BULELENG,73.13,72.89,72.91
KOTA DENPASAR,62.16,67.26,67.02
NUSA TENGGARA BARAT,51.91,51.96,52.54
LOMBOK BARAT,56.32,55.91,57.56
LOMBOK TENGAH,57.45,57.53,60.13
LOMBOK TIMUR,65.67,65.52,65.99
SUMBAWA,69.26,69.41,70.15
DOMPU,64.3,64.17,64.45
BIMA,52.61,52.62,53.26
SUMBAWA BARAT,49.06,49.07,49.22
LOMBOK UTARA,47.19,47.22,47.4
KOTA MATARAM,76.46,76.23,76.42
KOTA BIMA,69.91,69.58,70.16
NUSA TENGGARA TIMUR,73.37,74.53,74.53
SUMBA BARAT,69.24,69,68.44
SUMBA TIMUR,64.91,64.29,64.28
KUPANG,65.3,63.16,62.8
TIMOR TENGAH SELATAN,57.47,57.66,60.08
TIMOR TENGAH UTARA,51.59,51.76,55.94
BELU,75.18,74.45,74.54
ALOR,60.64,60.55,60.21
LEMBATA,53.04,52.64,52.31
FLORES TIMUR,57.61,57.92,57.56
SIKKA,64.03,62.53,61.53
ENDE,65.66,65.67,65.58
NGADA,59.22,58.82,59.68
MANGGARAI,65.61,66.32,64.58
ROTE NDAO,48.49,47.4,47.2
MANGGARAI BARAT,53.14,57.54,58.46
SUMBA TENGAH,53.09,53.41,53.34
SUMBA BARAT DAYA,65.43,65.34,68.05
NAGEKEO,52.75,52.29,51.82
MANGGARAI TIMUR,51.62,51.91,51.16
SABU RAIJUA,56.04,55.93,56.12
MALAKA,59.01,58.53,58.54
KOTA KUPANG,75.14,75.61,75.58
KALIMANTAN BARAT,68.07,68.07,71.14
SAMBAS,61.36,63.26,65.92
BENGKAYANG,72.8,71.96,71.38
LANDAK,67.8,68.47,67.44
PONTIANAK,62.22,62.27,62.29
SANGGAU,69.88,69.64,69.77
KETAPANG,49.32,49.92,55.8
SINTANG,63.55,63.67,63.97
KAPUAS HULU,62.52,63.08,63.13
SEKADAU,56.27,57.6,57.4
MELAWI,66.4,66.33,69.5
KAYONG UTARA,47.29,47.76,47.87
KUBU RAYA,72.43,73.24,73.04
KOTA PONTIANAK,66.48,66.18,66.23
KOTA SINGKAWANG,71.58,71.65,71.47
KALIMANTAN TENGAH,83.2,82.41,82.08
KOTAWARINGIN BARAT,64.11,64.53,63.44
KOTAWARINGIN TIMUR,67.36,69.52,69.51
KAPUAS,73.81,73.33,73.02
BARITO SELATAN,86.33,86.05,86.17
BARITO UTARA,85.35,85.02,85.62
SUKAMARA,66.33,66.02,66.4
LAMANDAU,71.06,71.26,70.26
SERUYAN,62.83,63.2,63.19
KATINGAN,66.57,66.36,67.66
PULANG PISAU,70.36,70.63,70.35
GUNUNG MAS,88.91,88.22,88.71
BARITO TIMUR,82.67,81.98,82.44
MURUNG RAYA,68.1,68.21,67.72
