Provinsi/Kabupaten/Kota,,
,Indeks Pembangunan Gender (IPG),
Kota Bogor,90.97,91.11
Kota Sukabumi,91.83,92.35
Kota Bandung,94.81,94.71
Kota Cirebon,94.91,95.55
Kota Bekasi,93.49,93.52
Kota Depok,93.47,93.44
Kota Cimahi,91.97,92
Kota Tasikmalaya,91.87,92.13
Kota Banjar,87.67,87.85
JAWA TENGAH,92.83,92.87
Cilacap,87.02,87.34
Banyumas,89.15,89.14
Purbalingga,93.21,93.51
Banjarnegara,95.19,95.09
Kebumen,93.26,93.37
Purworejo,95.59,95.34
Wonosobo,92.65,92.95
Magelang,92.21,92.49
Boyolali,94.37,94.7
Klaten,96.11,95.79
Sukoharjo,96.96,97.37
Wonogiri,91.73,92.11
Karanganyar,97.03,97.29
Sragen,92.24,92.49
Grobogan,86.18,86.23
Blora,84.92,85.68
Rembang,87.6,87.68
Pati,92.42,92.49
Kudus,93.56,93.83
Jepara,91.44,91.53
Demak,91.3,91.17
Semarang,96.6,96.64
Temanggung,95.99,96.19
Kendal,93.79,94.29
Batang,91.88,92.48
Pekalongan,92.72,92.83
Pemalang,86.72,87.14
Tegal,88.22,88.64
Brebes,87.19,87.13
Kota Magelang,95.91,96.43
Kota Surakarta,96.84,97.15
Kota Salatiga,95.44,95.45
Kota Semarang,95.93,95.96
Kota Pekalongan,95.32,95.65
Kota Tegal,93.39,93.64
D I YOGYAKARTA,94.99,94.93
Kulon Progo,95.54,95.27
Bantul,95.36,95.54
Gunung Kidul,85.82,85.93
Sleman,96.36,96.4
Kota Yogyakarta,98.48,98.47
JAWA TIMUR,92.08,92.15
Pacitan,85.65,86.16
Ponorogo,93.96,94.4
Trenggalek,92.41,92.57
Tulungagung,95.63,95.45
Blitar,93.22,93.4
Kediri,92.85,93.25
Malang,88.35,88.6
Lumajang,88.77,89.06
Jember,85.31,85.52
Banyuwangi,87.26,87.5
Bondowoso,91.1,91.17
Situbondo,87.32,87.59
Probolinggo,86.02,86.34
Pasuruan,91.02,91.08
Sidoarjo,94.68,94.72
Mojokerto,91.37,91.63
Jombang,90.51,90.65
Nganjuk,93.89,94.08
Madiun,92.14,92.31
Magetan,93.88,94.07
Ngawi,92.53,92.89
Bojonegoro,90.63,90.87
Tuban,88.39,88.52
Lamongan,89.5,89.84
Gresik,90.78,91.01
Bangkalan,87.35,87.56
Sampang,86.79,86.97
Pamekasan,86.83,86.97
Sumenep,81.88,82.29
Kota Kediri,94.53,94.58
Kota Blitar,97.37,97.49
Kota Malang,95.54,95.67
Kota Probolinggo,96.24,96.48
Kota Pasuruan,96.74,96.81
Kota Mojokerto,93.63,93.89
Kota Madiun,94.57,95.18
Kota Surabaya,94.21,94.36
Kota Batu,90.1,90.54
BANTEN,92.18,92.48
Pandeglang,86.93,87.09
Lebak,80.2,80.75
Tangerang,91.24,91.67
Serang,92.32,92.49
Kota Tangerang,94.73,94.89
Kota Cilegon,87.57,88.05
Kota Serang,92.63,92.49
Kota Tangerang Selatan,93.96,94.23
BALI,94.36,94.59
Jembrana,94.43,94.52
Tabanan,95.45,95.72
Badung,95.65,95.94
Gianyar,94.72,95.09
Klungkung,91.37,91.79
Bangli,91.86,92.23
Karangasem,89.9,90.17
Buleleng,91.85,91.99
Kota Denpasar,96.92,96.68
NUSA TENGGARA BARAT,91.08,91.39
Lombok Barat,90.41,90.65
Lombok Tengah,88.33,88.72
Lombok Timur,92.53,92.25
Sumbawa,94.59,94.79
Dompu,91.17,91.33
Bima,92.44,92.2
Sumbawa Barat,93.82,93.48
Lombok Utara,86.33,85.88
Kota Mataram,93.04,93.3
Kota Bima,96.95,96.9
NUSA TENGGARA TIMUR,92.96,93.38
Sumba Barat,94.58,94.82
Sumba Timur,96.36,96.07
Kupang,88.27,88.59
Timor Tengah Selatan,95.17,95.56
Timor Tengah Utara,95.51,95.8
Belu,97.57,97.44
Alor,92.36,92.52
Lembata,91.45,91.61
Flores Timur,92.08,91.97
Sikka,88.81,89.38
Ende,96.2,96.17
Ngada,95.9,96.33
Manggarai,88.4,88.92
Rote Ndao,84.86,85.28
Manggarai Barat,87.82,88.43
Sumba Tengah,90.51,90.74
Sumba Barat Daya,98.28,98.26
Nagekeo,98.6,97.94
Manggarai Timur,91.32,91.41
Sabu Raijua,92.57,92.25
Malaka,90.08,90.43
Kota Kupang,96.47,96.39
KALIMANTAN BARAT,87.61,88.06
Sambas,87.96,88.37
Bengkayang,82.86,83.68
Landak,88.83,89.45
Mempawah,88.53,88.9
Sanggau,82.14,82.66
Ketapang,89.12,89.46
Sintang,87.38,87.74
Kapuas Hulu,85.99,86.52
Sekadau,83.4,84.07
Melawi,80.82,81.22
Kayong Utara,87.07,86.8
Kubu Raya,85.26,85.45
Kota Pontianak,94.1,94.65
Kota Singkawang,92.83,93.05
KALIMANTAN TENGAH,89.2,89.49
Kotawaringin Barat,91.89,92.05
Kotawaringin Timur,88.3,88.34
Kapuas,95.44,95.51
Barito Selatan,92.03,92.29
Barito Utara,87.91,87.72
Sukamara,91.87,91.96
Lamandau,92.1,91.68
Seruyan,89.18,89.31
Katingan,86.17,86.36
Pulang Pisau,92.23,92.3
Gunung Mas,92.18,92.38
Barito Timur,89.04,89.2
Murung Raya,83.79,84.25
Kota Palangka Raya,95.08,95.51
KALIMANTAN SELATAN,89.44,89.65
Tanah Laut,87.28,87.53
Kotabaru,84.93,85.05
Banjar,92.12,92.49
Barito Kuala,89.93,89.8
Tapin,84.37,85.13
Hulu Sungai Selatan,90.05,89.62
Hulu Sungai Tengah,96.51,96.07
Hulu Sungai Utara,92.01,91.69
Tabalong,86.06,86.47
Tanah Bumbu,85.31,85.74
Balangan,93.1,93.21
Kota Banjarmasin,93.76,93.88
Kota Banjar Baru,92.83,92.99
KALIMANTAN TIMUR,86.61,87.13
Paser,71.98,72.84
Kutai Barat,84.62,85.29
Kutai Kartanegara,79.8,80.64
Kutai Timur,77.11,77.83
Berau,87.76,88.2
Penajam Paser Utara,86.83,86.93
Mahakam Ulu,82.32,83.07
Kota Balikpapan,89.96,90.13
Kota Samarinda,89.75,90.07
Kota Bontang,87.52,87.89
KALIMANTAN UTARA,87.85,88.46
Malinau,82.61,82.86
Bulungan,85.24,85.73
Tana Tidung,78.78,78.99
Nunukan,83.78,83.97
Kota Tarakan,92.06,92.73
SULAWESI UTARA,94.89,95.06
Bolaang Mongondow,88.52,88.55
Minahasa,96.3,96.47
Kepulauan Sangihe,95.94,95.53
Kepulauan Talaud,98.09,98.05
Minahasa Selatan,88.8,89.26
Minahasa Utara,96.24,96.53
Bolaang Mongondow Utara,87.35,87.53
Siau Tagulandang Biaro,88.87,89.04
Minahasa Tenggara,92.36,92.43
Bolaang Mongondow Selatan,80.42,80.97
Bolaang Mongondow Timur,91.1,91.37
Kota Manado,96.42,96.51
Kota Bitung,94.57,94.71
Kota Tomohon,99,99.32
Kota Kotamobagu,95.47,95.49
SULAWESI TENGAH,92.24,92.63
Banggai Kepulauan,92.2,92.32
Banggai,90.86,91.44
Morowali,85.14,85.17
Poso,96.79,97.2
Donggala,88.91,89.17
Toli-Toli,90.46,90.53
Buol,89.55,89.86
Parigi Moutong,92.76,92.58
Tojo Una-Una,91.17,91.56
Sigi,94.1,94.26
Banggai Laut,92.3,92.4
Morowali Utara,96.53,96.61
Kota Palu,98.09,98.37
SULAWESI SELATAN,93.14,93.19
Kepulauan Selayar,91.73,91.94
Bulukumba,95.95,95.83
Bantaeng,95.35,95.31
Jeneponto,92,92.28
Takalar,87.66,87.8
Gowa,87.83,88.37
Sinjai,98.13,98.21
Maros,89.46,89.5
Pangkajene dan Kepulauan,90.61,90.76
Barru,95.64,95.65
Bone,93.34,93.27
Soppeng,97.06,97.16
Wajo,90.33,90.65
Sidenreng Rappang,92.57,92.53
Pinrang,95.36,95.61
Enrekang,97.91,97.93
Luwu,92.79,92.79
Tana Toraja,88.48,88.54
Luwu Utara,90,90.2
Luwu Timur,90.34,90.34
Toraja Utara,87.32,87.8
Kota Makasar,94.52,94.65
Kota Parepare,96.76,97.06
Kota Palopo,97.58,97.61
SULAWESI TENGGARA,91.04,91.2
Buton,81.46,82.07
Muna,87.95,88.13
Konawe,93.53,93.76
Kolaka,90.23,90.25
Konawe Selatan,88.37,88.7
Bombana,85.77,85.92
Wakatobi,89.05,89.32
Kolaka Utara,98.38,98.48
Buton Utara,92.82,92.58
Konawe Utara,87.04,87.24
Kolaka Timur,99.29,99.3
Konawe Kepulauan,86.1,86.28
Muna Barat,89.35,89.59
Buton Tengah,83.01,83.32
Buton Selatan,73.43,74.22
Kota Kendari,94.92,94.98
Kota Baubau,90.94,91.24
GORONTALO,88.12,88.25
Boalemo,82.72,83.17
Gorontalo,83.27,83.6
Pohuwato,92.05,92.27
Bone Bolango,88.72,88.84
Gorontalo Utara,81.94,82.37
Kota Gorontalo,87.28,87.74
SULAWESI BARAT,89.79,90.25
Majene,94.19,94.68
