Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
Bangka Barat,0.579,0.528,0.421
Bangka Tengah,0.56,0.565,0.512
Bangka Selatan,0.643,0.621,0.605
Belitung Timur,0.466,0.518,0.479
Kota Pangkal Pinang,0.351,0.242,0.242
KEPULAUAN RIAU,0.386,0.414,0.416
Karimun,0.475,0.423,0.398
Bintan,0.464,0.389,0.416
Natuna,0.612,0.848,0.837
Lingga,0.558,0.589,0.578
Kepulauan Anambas,0.526,0.581,0.491
Kota Batam,0.404,0.394,0.407
Kota Tanjung Pinang,0.227,0.176,0.255
DKI JAKARTA,0.3,0.237,0.21
Kep. Seribu,0.439,0.496,0.403
Kota Jakarta Selatan,0.304,0.235,0.161
Kota Jakarta Timur,0.312,0.245,0.167
Kota Jakarta Pusat,0.295,0.3,0.204
Kota Jakarta Barat,0.217,0.232,0.261
Kota Jakarta Utara,0.287,0.177,0.32
JAWA BARAT,0.508,0.504,0.489
Bogor,0.571,0.579,0.575
Sukabumi,0.627,0.579,0.558
Cianjur,0.597,0.586,0.563
Bandung,0.469,0.513,0.485
Garut,0.605,0.602,0.586
Tasikmalaya,0.576,0.567,0.568
Ciamis,0.547,0.515,0.512
Kuningan,0.466,0.447,0.455
Cirebon,0.481,0.468,0.439
Majalengka,0.514,0.503,0.508
Sumedang,0.491,0.473,0.451
Indramayu,0.505,0.468,0.391
Subang,0.545,0.545,0.551
Purwakarta,0.532,0.529,0.519
Karawang,0.526,0.506,0.477
Bekasi,0.509,0.46,0.432
Bandung Barat,0.542,0.558,0.558
Pangandaran,0.433,0.521,0.435
Kota Bogor,0.487,0.393,0.418
Kota Sukabumi,0.492,0.45,0.465
Kota Bandung,0.374,0.321,0.386
Kota Cirebon,0.38,0.311,0.185
Kota Bekasi,0.363,0.342,0.326
Kota Depok,0.273,0.181,0.259
Kota Cimahi,0.221,0.189,0.235
Kota Tasikmalaya,0.485,0.478,0.453
Kota Banjar,0.253,0.456,0.476
JAWA TENGAH,0.389,0.376,0.37
Cilacap,0.414,0.407,0.38
Banyumas,0.314,0.304,0.251
Purbalingga,0.452,0.438,0.346
Banjarnegara,0.419,0.434,0.224
Kebumen,0.395,0.4,0.416
Purworejo,0.457,0.351,0.335
Wonosobo,0.507,0.594,0.536
